"cruise","station","cast","rosette","pressure"
"FK","62",1,8,97.4
"FK","62",1,7,98.6
"FK","62",1,6,98.5
"FK","62",1,5,98.6
"FK","62",1,4,97.7
"FK","62",1,3,98.5
"FK","62",1,2,125
"FK","62",1,1,249.9
"FK","63",1,8,5.6
"FK","63",1,7,15.1
"FK","63",1,6,50.4
"FK","63",1,5,50.5
"FK","63",1,4,110.4
"FK","63",1,3,110.1
"FK","63",1,2,249.2
"FK","63",1,1,249.9
"FK","64",1,24,4.7
"FK","64",1,23,15.8
"FK","64",1,22,25.4
"FK","64",1,21,25.2
"FK","64",1,20,25.5
"FK","64",1,19,25.8
"FK","64",1,18,25.5
"FK","64",1,17,25
"FK","64",1,16,24.6
"FK","64",1,15,25
"FK","64",1,14,25.3
"FK","64",1,13,25.3
"FK","64",1,12,115.6
"FK","64",1,11,115.6
"FK","64",1,10,115.3
"FK","64",1,9,115.5
"FK","64",1,8,114.9
"FK","64",1,7,114.7
"FK","64",1,6,115.4
"FK","64",1,5,124.8
"FK","64",1,4,150.9
"FK","64",1,3,150.8
"FK","64",1,2,200.7
"FK","64",1,1,200.4
"FK","65",1,24,5.1
"FK","65",1,23,5.2
"FK","65",1,22,5.6
"FK","65",1,21,26.1
"FK","65",1,20,26
"FK","65",1,19,25.7
"FK","65",1,18,45.3
"FK","65",1,17,44.8
"FK","65",1,16,45.4
"FK","65",1,15,74.7
"FK","65",1,14,74.5
"FK","65",1,13,74.9
"FK","65",1,12,99.9
"FK","65",1,11,100.2
"FK","65",1,10,100.1
"FK","65",1,9,124
"FK","65",1,8,124.7
"FK","65",1,7,125.3
"FK","65",1,6,125
"FK","65",1,5,149.6
"FK","65",1,4,175
"FK","65",1,3,200.5
"FK","65",1,2,225.2
"FK","65",1,1,225.2
"FK","66",1,24,5.8
"FK","66",1,23,25.2
"FK","66",1,22,25.4
"FK","66",1,21,25
"FK","66",1,20,26
"FK","66",1,19,44.8
"FK","66",1,18,75.6
"FK","66",1,17,100.7
"FK","66",1,16,104.4
"FK","66",1,15,125.5
"FK","66",1,14,150.8
"FK","66",1,13,175.3
"FK","66",1,12,200
"FK","66",1,11,300.3
"FK","66",1,10,399.9
"FK","66",1,9,498.7
"FK","66",1,8,600
"FK","66",1,7,700.2
"FK","66",1,6,770.2
"FK","66",1,5,1000.5
"FK","66",1,4,1000.5
"FK","66",1,3,1000.1
"FK","66",1,2,1000.9
"FK","66",1,1,1000.6
"FK","67",1,24,5.8
"FK","67",1,23,15.1
"FK","67",1,22,24.6
"FK","67",1,21,45.6
"FK","67",1,20,75.6
"FK","67",1,19,85.2
"FK","67",1,18,91
"FK","67",1,17,95.1
"FK","67",1,16,99.3
"FK","67",1,15,99.8
"FK","67",1,14,105.1
"FK","67",1,13,110.5
"FK","67",1,12,114.5
"FK","67",1,11,125.3
"FK","67",1,10,150.3
"FK","67",1,9,174.4
"FK","67",1,8,200.6
"FK","67",1,7,250.1
"FK","67",1,6,250.2
"FK","67",1,5,250.6
"FK","67",1,4,301.3
"FK","67",1,3,301.1
"FK","67",1,2,300.1
"FK","67",1,1,400.1
"FK","68",1,12,25.9
"FK","68",1,11,25.9
"FK","68",1,10,25.5
"FK","68",1,9,25
"FK","68",1,8,25.8
"FK","68",1,7,25.1
"FK","68",1,6,99.6
"FK","68",1,5,100.2
"FK","68",1,4,100.5
"FK","68",1,3,100
"FK","68",1,2,99.8
"FK","68",1,1,99.7
"FK","69",1,24,15.1
"FK","69",1,23,15.3
"FK","69",1,22,15.2
"FK","69",1,21,26.2
"FK","69",1,20,26.3
"FK","69",1,19,25.4
"FK","69",1,18,26.2
"FK","69",1,17,25.7
"FK","69",1,16,25.2
"FK","69",1,15,111.5
"FK","69",1,14,112.5
"FK","69",1,13,112.4
"FK","69",1,12,149.6
"FK","69",1,11,150
"FK","69",1,10,149.9
"FK","69",1,9,149.2
"FK","69",1,8,250.4
"FK","69",1,7,250.7
"FK","69",1,6,251
"FK","69",1,5,250.5
"FK","69",1,4,1000.5
"FK","69",1,3,1000.7
"FK","69",1,2,998.7
"FK","69",1,1,999
"FK","71",1,24,5.1
"FK","71",1,23,4.6
"FK","71",1,22,14.6
"FK","71",1,21,25.4
"FK","71",1,20,25.3
"FK","71",1,19,25.6
"FK","71",1,18,25.8
"FK","71",1,17,46
"FK","71",1,16,45.6
"FK","71",1,15,75.8
"FK","71",1,14,75.1
"FK","71",1,13,90.3
"FK","71",1,12,99.8
"FK","71",1,11,100.4
"FK","71",1,10,99.6
"FK","71",1,9,99.8
"FK","71",1,8,110.7
"FK","71",1,7,124.9
"FK","71",1,6,125.1
"FK","71",1,5,150.2
"FK","71",1,4,150
"FK","71",1,3,176
"FK","71",1,2,175.1
"FK","71",1,1,199.9
"FK","72",1,24,5.9
"FK","72",1,23,5.5
"FK","72",1,22,15
"FK","72",1,21,24.1
"FK","72",1,20,25.2
"FK","72",1,19,25.5
"FK","72",1,18,24.8
"FK","72",1,17,45.3
"FK","72",1,16,45.1
"FK","72",1,15,75.3
"FK","72",1,14,75.1
"FK","72",1,13,99.5
"FK","72",1,12,100.6
"FK","72",1,11,120.3
"FK","72",1,10,124.4
"FK","72",1,9,129.9
"FK","72",1,8,130.5
"FK","72",1,7,129.4
"FK","72",1,6,141.3
"FK","72",1,5,150.6
"FK","72",1,4,150.1
"FK","72",1,3,174.8
"FK","72",1,2,176.4
"FK","72",1,1,200.5
"FK","73",1,24,4.9
"FK","73",1,23,5.1
"FK","73",1,22,15.2
"FK","73",1,21,25.4
"FK","73",1,20,25.2
"FK","73",1,19,25
"FK","73",1,18,25.4
"FK","73",1,17,45.7
"FK","73",1,16,45.7
"FK","73",1,15,75.7
"FK","73",1,14,75.2
"FK","73",1,13,100.4
"FK","73",1,12,100.8
"FK","73",1,11,115
"FK","73",1,10,126.1
"FK","73",1,9,125.1
"FK","73",1,8,125.6
"FK","73",1,7,125.2
"FK","73",1,6,135
"FK","73",1,5,150.9
"FK","73",1,4,151.3
"FK","73",1,3,174.4
"FK","73",1,2,174.1
"FK","73",1,1,200.2
"FK","74",1,24,5.4
"FK","74",1,23,4.8
"FK","74",1,22,5.8
"FK","74",1,21,15.4
"FK","74",1,20,15.6
"FK","74",1,19,26.4
"FK","74",1,18,24.2
"FK","74",1,17,24.8
"FK","74",1,16,24.7
"FK","74",1,15,26.2
"FK","74",1,14,45.4
"FK","74",1,13,44.8
"FK","74",1,12,75.4
"FK","74",1,11,74.8
"FK","74",1,10,99.5
"FK","74",1,9,98.9
"FK","74",1,8,113.1
"FK","74",1,7,113.5
"FK","74",1,6,124.3
"FK","74",1,5,125.5
"FK","74",1,4,149.9
"FK","74",1,3,150.8
"FK","74",1,2,174.6
"FK","74",1,1,175
"FK","75",1,24,5.1
"FK","75",1,23,15.7
"FK","75",1,22,14.9
"FK","75",1,21,26.2
"FK","75",1,20,26.6
"FK","75",1,19,25.9
"FK","75",1,18,25.7
"FK","75",1,17,25.9
"FK","75",1,16,26.1
"FK","75",1,15,26.4
"FK","75",1,14,25.4
"FK","75",1,13,25.5
"FK","75",1,12,25.1
"FK","75",1,11,25.5
"FK","75",1,10,26.1
"FK","75",1,9,25.8
"FK","75",1,8,26
"FK","75",1,7,46.2
"FK","75",1,6,75.8
"FK","75",1,5,99.8
"FK","75",1,4,125.1
"FK","75",1,3,125.2
"FK","75",1,2,150.9
"FK","75",1,1,174.3
"FK","76",1,24,5.5
"FK","76",1,23,6.6
"FK","76",1,22,6.2
"FK","76",1,21,6.2
"FK","76",1,20,25.7
"FK","76",1,19,24.7
"FK","76",1,18,25.8
"FK","76",1,17,25.4
