"cruise","station","cast","rosette","pressure","temp","sal","theta","dic","alk","ph","oxy_um","het_abund","pro_abund","syn_abund","euk_abund"
"FK","41",1,4,100.6,21.05,35.146,21.031,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,3,125,19.878,35.059,19.855,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,2,125.9,19.839,35.05,19.816,NA,NA,NA,NA,NA,NA,NA,NA
"FK","41",1,1,250.3,13.111,34.259,13.077,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,17,5.1,23.572,35.16,23.571,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,16,4.7,23.563,35.16,23.562,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,15,5.1,23.572,35.16,23.571,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,14,15.1,23.112,35.145,23.109,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,13,14.9,23.125,35.145,23.122,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,12,15.1,23.105,35.145,23.102,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,11,14,23.143,35.147,23.14,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,10,15.1,23.103,35.145,23.1,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,9,50.7,22.699,35.163,22.689,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,8,74.8,22.48,35.188,22.465,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,7,75.4,22.473,35.188,22.458,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,6,100.6,21.362,35.18,21.343,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,5,100.4,21.364,35.179,21.345,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,4,103.9,21.342,35.188,21.322,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,3,103.2,21.342,35.185,21.322,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,2,103.8,21.342,35.187,21.322,NA,NA,NA,NA,NA,NA,NA,NA
"FK","42",1,1,250.5,13.295,34.266,13.26,NA,NA,NA,NA,NA,NA,NA,NA
"FK","43",1,23,5.6,23.831,35.159,23.83,NA,NA,NA,NA,NA,NA,NA,NA
"FK","43",1,22,5.3,23.837,35.159,23.836,NA,NA,NA,NA,NA,NA,NA,NA
"FK","43",1,21,5.4,23.834,35.159,23.833,NA,NA,NA,214.9,NA,NA,NA,NA
"FK","43",1,20,25.2,22.851,35.132,22.846,NA,NA,NA,217.9,NA,NA,NA,NA
"FK","43",1,19,45.2,22.724,35.15,22.715,NA,NA,NA,218.3,NA,NA,NA,NA
"FK","43",1,18,75.5,22.535,35.184,22.52,NA,NA,NA,NA,NA,NA,NA,NA
"FK","43",1,17,75.2,22.547,35.183,22.532,NA,NA,NA,NA,NA,NA,NA,NA
"FK","43",1,16,75.2,22.547,35.183,22.532,NA,NA,NA,218.8,NA,NA,NA,NA
"FK","43",1,15,101.4,21.357,35.194,21.337,NA,NA,NA,NA,NA,NA,NA,NA
"FK","43",1,14,100.3,21.433,35.202,21.414,NA,NA,NA,NA,NA,NA,NA,NA
"FK","43",1,13,100.7,21.419,35.201,21.399,NA,NA,NA,213.6,NA,NA,NA,NA
"FK","43",1,12,104.2,21.231,35.175,21.211,NA,NA,NA,NA,NA,NA,NA,NA
"FK","43",1,11,104.2,21.229,35.175,21.209,NA,NA,NA,NA,NA,NA,NA,NA
"FK","43",1,10,124.7,20.203,35.096,20.18,NA,NA,NA,205.6,NA,NA,NA,NA
"FK","43",1,9,149.9,18.436,34.865,18.41,NA,NA,NA,197.9,NA,NA,NA,NA
"FK","43",1,8,174.9,16.799,34.696,16.77,NA,NA,NA,202.3,NA,NA,NA,NA
"FK","43",1,7,199.9,15.187,34.483,15.157,NA,NA,NA,197.7,NA,NA,NA,NA
"FK","43",1,6,300.2,11.609,34.164,11.571,NA,NA,NA,195.4,NA,NA,NA,NA
"FK","43",1,5,400.2,8.508,34.06,8.466,NA,NA,NA,147.8,NA,NA,NA,NA
"FK","43",1,4,500.4,6.799,34.07,6.753,NA,NA,NA,84.5,NA,NA,NA,NA
"FK","43",1,3,599.8,5.289,34.13,5.24,NA,NA,NA,44.3,NA,NA,NA,NA
"FK","43",1,2,699.6,4.565,34.254,4.511,NA,NA,NA,27.9,NA,NA,NA,NA
"FK","43",1,1,769.1,4.28,34.328,4.222,NA,NA,NA,27.1,NA,NA,NA,NA
"FK","44",1,20,5.3,23.637,35.155,23.636,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,19,5.5,23.635,35.155,23.634,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,18,5.5,23.635,35.155,23.634,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,17,5.8,23.631,35.154,23.63,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,16,15.3,23.029,35.125,23.026,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,15,14.5,23.037,35.124,23.034,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,14,15.1,23.032,35.125,23.029,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,13,24.7,22.93,35.124,22.925,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,12,24.9,22.931,35.124,22.926,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,11,49.9,22.676,35.159,22.666,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,10,75.5,22.152,35.193,22.137,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,9,74.3,22.281,35.195,22.266,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,8,100,20.878,35.165,20.859,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,7,99,20.903,35.167,20.884,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,6,105.9,20.539,35.133,20.519,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,5,106.1,20.534,35.133,20.514,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,4,105.9,20.539,35.133,20.519,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,3,106.3,20.528,35.133,20.508,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,2,125.7,19.611,34.997,19.588,NA,NA,NA,NA,NA,NA,NA,NA
"FK","44",1,1,250.4,13.047,34.262,13.013,NA,NA,NA,NA,NA,NA,NA,NA
"FK","45",1,10,5,23.548,35.151,23.547,NA,NA,NA,NA,NA,NA,NA,NA
"FK","45",1,9,5.4,23.516,35.148,23.515,NA,NA,NA,NA,NA,NA,NA,NA
"FK","45",1,8,5.3,23.524,35.149,23.523,NA,NA,NA,NA,NA,NA,NA,NA
"FK","45",1,7,5.1,23.54,35.15,23.539,NA,NA,NA,NA,NA,NA,NA,NA
"FK","45",1,6,75.1,22.537,35.184,22.522,NA,NA,NA,NA,NA,NA,NA,NA
"FK","45",1,5,75.1,22.544,35.183,22.529,NA,NA,NA,NA,NA,NA,NA,NA
"FK","45",1,4,99.5,21.861,35.204,21.841,NA,NA,NA,NA,NA,NA,NA,NA
"FK","45",1,3,100.1,21.847,35.202,21.827,NA,NA,NA,NA,NA,NA,NA,NA
"FK","45",1,2,111.6,21.403,35.183,21.381,NA,NA,NA,NA,NA,NA,NA,NA
"FK","45",1,1,113.5,21.374,35.179,21.352,NA,NA,NA,NA,NA,NA,NA,NA
"FK","46",1,23,5.1,23.476,35.145,23.475,NA,NA,NA,NA,NA,NA,NA,NA
"FK","46",1,22,5.5,23.477,35.145,23.476,NA,NA,NA,NA,NA,NA,NA,NA
"FK","46",1,21,5,23.476,35.145,23.475,NA,NA,NA,NA,NA,NA,NA,NA
