"filename","polarity","samp_type","cruise","station","cast","depth","abs_depth","rosette","tripl","id","untripl","date_run","timestamp"
"180821_Std_4uMStdsMix2InMatrix_1.mzML","neg","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 00:14:39
"180821_Std_4uMStdsMix2InMatrix_1.mzML","pos","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 00:14:39
"180821_Std_H2OInMatrix_1.mzML","neg","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 02:46:09
"180821_Std_H2OInMatrix_1.mzML","pos","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 02:46:09
"180821_Smp_MS4C115m_A.mzML","neg","Smp","MT","4",1,"15m",14.1,21,"A","MS4C115m_A","180821_Smp_MS4C115m",2018-08-21,2018-08-22 07:49:11
"180821_Smp_MS4C115m_A.mzML","pos","Smp","MT","4",1,"15m",14.1,21,"A","MS4C115m_A","180821_Smp_MS4C115m",2018-08-21,2018-08-22 07:49:11
"180821_Smp_MS5C1DCM_B.mzML","neg","Smp","MT","5",1,"DCM",122.4,10,"B","MS5C1DCM_B","180821_Smp_MS5C1DCM",2018-08-21,2018-08-22 08:39:42
"180821_Smp_MS5C1DCM_B.mzML","pos","Smp","MT","5",1,"DCM",122.4,10,"B","MS5C1DCM_B","180821_Smp_MS5C1DCM",2018-08-21,2018-08-22 08:39:42
"180821_Smp_MS6C3175m_C.mzML","neg","Smp","MT","6",3,"175m",176.5,3,"C","MS6C3175m_C","180821_Smp_MS6C3175m",2018-08-21,2018-08-22 10:20:41
"180821_Smp_MS6C3175m_C.mzML","pos","Smp","MT","6",3,"175m",176.5,3,"C","MS6C3175m_C","180821_Smp_MS6C3175m",2018-08-21,2018-08-22 10:20:41
"180821_Smp_MS7C115m_B.mzML","neg","Smp","MT","7",1,"15m",15.9,21,"B","MS7C115m_B","180821_Smp_MS7C115m",2018-08-21,2018-08-22 11:11:14
"180821_Smp_MS7C115m_B.mzML","pos","Smp","MT","7",1,"15m",15.9,21,"B","MS7C115m_B","180821_Smp_MS7C115m",2018-08-21,2018-08-22 11:11:14
"180821_Smp_MS8C1DCM_C.mzML","neg","Smp","MT","8",1,"DCM",122.9,12,"C","MS8C1DCM_C","180821_Smp_MS8C1DCM",2018-08-21,2018-08-22 12:52:15
"180821_Smp_MS8C1DCM_C.mzML","pos","Smp","MT","8",1,"DCM",122.9,12,"C","MS8C1DCM_C","180821_Smp_MS8C1DCM",2018-08-21,2018-08-22 12:52:15
"180821_Smp_MS9C2175m_C.mzML","neg","Smp","MT","9",2,"175m",175.2,3,"C","MS9C2175m_C","180821_Smp_MS9C2175m",2018-08-21,2018-08-22 13:42:44
"180821_Smp_MS9C2175m_C.mzML","pos","Smp","MT","9",2,"175m",175.2,3,"C","MS9C2175m_C","180821_Smp_MS9C2175m",2018-08-21,2018-08-22 13:42:44
"180821_Smp_MS10C215m_A.mzML","neg","Smp","MT","10",2,"15m",15.8,20,"A","MS10C215m_A","180821_Smp_MS10C215m",2018-08-21,2018-08-22 15:23:45
"180821_Smp_MS10C215m_A.mzML","pos","Smp","MT","10",2,"15m",15.8,20,"A","MS10C215m_A","180821_Smp_MS10C215m",2018-08-21,2018-08-22 15:23:45
