"cruise","station","cast","rosette","abs_depth","no23_um","po4_um","DON_um","DOP_um","si_um"
"MT","14",1,5,175,1.01906343756021,0.136435370897106,4.10480715621313,0.0988210111679422,2.23748909671874
"MT","14",1,4,200,1.54146191493776,0.16483212581334,4.19678078579265,NA,4.63240100597566
"MT","14",1,3,250,4.5963389925513,0.392072130750225,3.80321160438939,NA,6.97854413946878
"MT","14",1,2,500,27.0823590842431,2.00788009023605,3.07149198644669,NA,37.7608424534046
"MC","15",1,4,15,0,0.0316503638710284,NA,NA,NA
"MC","15",1,2,111,0,0.0998951945481243,NA,NA,NA
"MC","15",3,15,75,0,0.0528761306945359,NA,NA,1.36999811728757
"MC","15",3,14,80,0,0.0567341741671576,NA,NA,1.42700729083736
"MC","15",3,13,86,0,0.0654671097796035,NA,NA,1.40337773399378
"MC","15",3,12,91,0,0.0888745673344245,NA,NA,1.52479465593031
"MC","15",3,11,96,0,0.0739508177775391,NA,NA,1.66290138621994
"MC","15",3,10,100,0,0.0506928967914244,NA,NA,1.8421877811059
"MC","15",3,9,105,0,0.0517396527723683,NA,NA,NA
"MC","15",3,8,110,0.365065247599474,0.109690057698337,NA,NA,2.07871276271489
"MC","15",3,7,116,0.233059233795418,0.101355886269108,NA,NA,1.99463283472294
"MC","15",3,6,121,0.229652945481102,0.100189501033199,NA,NA,1.91416616420951
"MC","15",3,5,125,0.1245023062131,0.0747882225622942,NA,NA,1.98419453534059
"MC","15",3,4,131,0.146174198531716,0.0743495819607558,NA,NA,1.95769731383153
"MC","15",3,3,135,0.736153207870636,0.120476628854349,NA,NA,2.17541041523496
"MC","15",3,2,140,0.79820689498795,0.118861633912321,NA,NA,2.31844952874922
"MC","15",3,1,146,0.899506947465857,0.127584600420187,NA,NA,2.34288203169913
"MC","L1",4,NA,15,0,0.0114995592317765,NA,0.192102644485775,1.58695138115796
"MC","L1",4,NA,101,0.650913176835109,0.0921234224211903,NA,0.138744525106222,3.44783285570867
"MC","L1",6,18,15,0,0.0210654665398081,NA,NA,NA
"MC","L1",6,17,15,0,0.0223967413768963,NA,NA,NA
"MC","L1",6,16,15,0,0.0261556350345573,NA,NA,1.59325269106401
"MC","L1",6,NA,15,0,0.0210654665398081,NA,NA,NA
"MC","L1",6,15,45,0,0.0481608249887806,NA,NA,2.48442390752316
